iter	Passed	Remaining
255	1077	3131
256	1081	3125
257	1084	3119
258	1087	3111
259	1092	3108
260	1094	3099
261	1097	3091
262	1100	3083
263	1105	3081
264	1107	3072
265	1110	3064
266	1113	3057
267	1116	3049
268	1121	3047
269	1124	3039
270	1127	3033
271	1130	3026
272	1133273	11273	1136274	11274	1138275	11275	1142276	11276	1147277	11277	1150278	11278	1152279	11279	1155280	11280	1160281	11281	1163282	11282	1166283	11283	1170284	11284	1174	2946
285	1177	2939
286	1180	2933
287	1183	2926
288	1186	2919
289	1190	2914
290	1193	2908
291	1196	2901
292	1200	2895
293	1202	2888
294	1206	2882
295	1208	2875
296	1212	2868
297	1216	2865
298	1219	2858
299	1222	2853
300	1226	2847
301	1230	2845
302	1233	2837
303	1236	2831
304	1239	2825
305	1244	2821
306	1246	2814
307	1250	2808
308	1252	2801
309	1256	2795
310	1259	2790
311	1262	2783
312	1264	2776
313	1268	2771
314	1273	2768
315	1275	2761
316	1278	2754
317	1281	2747
318	1284	2741
319	1289	2739
320	1292	2733
321	1295	2727
322	1299	2724
323	1303	2718
324	1306	2712
325	1309	2706
326	1312	2700
327327	1326	27328328	1329	27329329	1332	27330330	1335	26331331	1340	26332332	1343	26333333	1347	26334334	1350	26335335	1354	26336336	1357	23337337	1361	23338338	1364	23339339	1368	26340340	1371	26341341	1373	26342342	1376	26343343	1382	26344344	1385	26345345	1388	26346346	1391	26347347	1400	2623
348	1404	26349349	1406	26350350	1410	26351351	1413	26352352	1417	25353353	1421	25354354	1425	25355355	1428	25356356	1432	25357357	1435	25358358	1438	25359359	1441	25360360	1445	25361361	1448	25362362	1451	25363363	1454	25364	1450	2522
365365	1461	25366366	1464	25367367	1467	25368368	1469	25369369	1475	25370370	1478	25371371	1481	25372372	1484	24373373	1487	24374374	1491	24375375	1493	24376	1491	2464
377377	1499	24378378	1504	24379379	1508	24380380	1511	24381381	1514	24382382	1517	24383383	1520	24384384	1523	24385385	1526	24386386	1531	24387387	1534	24388388	1538	24389389	1540	24390390	1545	24391391	1549	24392392	1551	23393	1547	2380
394	1550	2375
395395	1560	23396396	1563	23397397	1566	23398398	1572	23399	1568	2352
400	1571	2347
401401	1581	23402402	1584	23403	1583	2335
404	1586	2330
405	1589	2324
406	1592	2320
407	1596	2315
408	1599	2311
409	1602	2306
410	1606	2302
411	1609	2296
412	1612	2291
413	1615	2286
414	1618	2281
415	1621	2276
416	1624	2271
417	1627	2265
418	1630	2260
419419	1641	22420	1635	2249
421	1639	2244
422	1641	2239
423	1644	2234
424	1648	2230
425	1651	2224
426	1654	2220
427	1657	2214
428	1660	2210
429	1663	2205
430	1667	2200
431	1670	2196
432	1673	2191
433	1677	2187
434	1680	2183
435	1685	2180
436	1688	2175
437	1691	2170
438	1694	2165
439	1697	2160
440	1700	2155
441	1703	2150
442	1707	2146
443	1709	2141
444	1713	2137
445	1716	2132
446	1720	2128
447	1723	2123
448	1727	2120
449	1730	2115
450	1733	2110
451	1737	2106
452	1741	2102
453	1744	2097
454	1747	2092
455	1749	2087
456	1752	2082
457	1756	2078
458	1758	2073
459	1761	2067
460	1764	2062
461	1769	2060
462	1772	2055
463	1775	2050
464	1778	2046
465	1781	2041
466	1785	2038
467	1788	2033
468	1791	2028
469	1794	2023
470	1799	2020
471	1802	2016
472	1805	2011
473	1808	2006
474	1812	2002
475	1814	1997
476	1817	1992
477	1819	1987
478	1822	1982
479	1827	1979
480	1830	1974
481	1832	1969
482	1835	1965
483	1839	1960
484	1842	1956
485	1845	1952
486	1849	1947
487	1854	1946
488	1858	1941
489	1861	1937
490	1864	1933
491	1868	1929
492	1872	1925
493	1875	1920
494	1878	1916
495	1881	1911
496	1884	1907
497	1887	1902
498	1890	1898
499	1893	1893
500	1898	1890
501	1901	1885
502	1903	1881
503	1906	1876
504	1912	1874
505	1914	1869
506	1917	1864
507	1920	1860
508	1924	1855
509	1926	1851
510	1929	1846
511	1933	1842
512	1935	1837
513	1939	1833
514	1942	1829
515	1945	1825
516	1948	1820
517	1955	1819
518	1958	1815
519	1961	1810
520	1963	1805
521	1967	1801
522	1970	1797
523	1973	1793
524	1976	1788
525	1981	1785
526	1984	1781
527	1987	1776
528	1990	1772
529	1993	1768
530	1996	1763
531	1999	1759
532	2002	1754
533	2005	1750
534	2009	1746
535	2013	1743
536	2017	1739
537	2021	1736
538	2024	1731
539	2028	1727
540	2031	1723
541	2034	1719
542	2039	1716
543	2042	1711
544	2045	1707
545	2048	1703
546	2051	1698
547	2054	1694
548	2056	1689
549	2059	1685
550	2063	1681
551	2066	1676
552	2069	1673
553	2072	1668
554	2075	1664
555	2079	1660
556	2082	1656
557	2085	1652
558	2089	1648
559	2092	1644
560	2095	1639
561	2098	1635
562	2100	1630
563	2106	1628
564	2109	1624
565	2112	1620
566	2116	1616
567	2121	1613
568	2125	1609
569	2128	1605
570	2131	1601
571	2136	1598
572	2140	1594
573	2143	1590
574	2146	1586
575	2150	1583
576	2153	1579
577	2157	1574
578	2159	1570
579	2163	1566
580	2166	1562
581	2169	1558
582	2173	1554
583	2177	1550
584	2180	1546
585	2184	1543
586	2187	1538
587	2190	1534
588	2194	1531
589	2197	1526
590	2200	1522
591	2203	1518
592	2208	1515
593	2210	1511
594	2213	1506
595	2216	1502
596	2220	1499
597	2224	1495
598	2227	1491
599	2230	1486
600	2233	1482
601	2236	1478
602	2239	1474
603	2242	1470
604	2246	1466
605	2249	1462
606	2252	1458
607	2255	1454
608	2258	1450
609	2263	1446
610	2266	1443
611	2269	1438
612	2272	1434
613	2277	1431
614	2280	1427
615	2283	1423
616	2286	1419
617	2290	1415
618	2293	1411
619	2296	1407
620	2299	1403
621	2302	1399
622	2306	1395
623	2308	1391
624	2311	1387
625	2314	1382
626	2318	1379
627	2321	1374
628	2324	1370
629	2327	1367
630	2332	1363
631	2335	1360
632	2338	1355
633	2341	1351
634	2345	1348
635	2349	1344
636	2352	1340
637	2355	1336
638	2358	1332
639	2361	1328
640	2364	1324
641	2367	1320
642642	2383	13643643	2388	13644	2378	1308
645	2381	1304
646	2384	1300
647	2388	1297
648	2391	1293
649	2395	1289
650	2398	1285
651651	2414	12652652	2417	12653653	2420	12654654	2423	12655655	2426	12656	2418	1262
657	2421	1258
658	2424	1254
659659	2439	12660660	2444	12661	2434	1242
662	2437	1238
663	2440	1234
664	2444	1231
665	2447	1227
666	2450	1223
667	2453	1219
668	2456	1215
669	2459	1211
670	2462	1207
671	2465	1203
672	2468	1199
673	2471	1195
674	2473	1191
675	2477	1187
676	2480	1183
677	2485	1180
678	2488	1176
679	2491	1172
680	2494	1168
681	2499	1165
682	2502	1161
683	2505	1157
684	2508	1153
685	2513	1150
686	2516	1146
687	2519	1142
688	2521	1138
689	2525	1134
690	2529	1130
691	2531	1126
692	2537	1123
693	2540	1119
694	2543	1116
695	2548	1113
696	2552	1109
697	2556	1106
698	2559	1102
699	2563	1098
700	2567	1095
701	2570	1091
702	2573	1087
703	2576	1083
704	2579	1079
705	2582	1075
706	2585	1071
707	2588	1067
708	2592	1064
709	2595	1060
710	2598	1056
711	2601	1052
712	2606	1049
713	2609	1045
714	2611	1040
715	2614	1037
716	2617	1033
717	2620	1029
718	2624	1025
719	2627	1021
720	2629	1017
721	2634	1014
722	2637	1010
723	2640	1006
724	2644	1003
725	2648	999
726	2651	995
727	2654	991
728	2657	988
729	2661	984
730	2664	980
731	2667	976
732	2671	973
733	2674	969
734	2677	965
735	2681	961
736	2684	958
737	2687	954
738	2691	950
739	2694	946
740	2697	942
741	2700	939
742	2704	935
743	2707	931
744	2710	927
745	2713	923
746	2716	920
747	2719	916
748	2723	912
749	2726	908
750	2729	904
751	2733	901
752	2736	897
753	2739	893
754	2741	889
755	2745	886
756	2749	882
757	2752	878
758	2755	874
759	2759	2786760	2760	2789761	2761	2792762	2762	2795763	2763	2799764	2764	2802765	2765	2805766	2766	2808767	2767	2811768	2768	2815769	2769	2818770	2770	2821771	2771	2824772	2772	2829773	2773	2831774	2774	2835775	2775	2838776	2776	2841777	2777	2844778	2778	2848779	2779	2851780	2780	2854781	2781	2858782	2782	2861783	2783	2864784	2784	2866785	2785	2871786	2786	2874787	2787	2877788	2788	2880789	2789	2884	766
790	2886	762
791	2889	758
792	2892	755
793	2896	751
794	2899	747
795	2901	743
796	2904	739
797	2909	736
798	2912799	2799	2915800	2800	2917801	2801	2922802	2802	2925803	2803	2928	713
804	2931805	2805	2936	706
806	2939	702
807	2942	699
808	2945	695
809	2948810	2810	2952811	2811	2955812	2812	2958813	2813	2961814	2814	2966815	2815	2969816	2816	2972817	2817	2975818	2818	2978819	2819	2981820	2820	2984821	2821	2987822	2822	2990823	2823	2994824	2824	2997825	2825	3000826	2826	3003827	2827	3008828	2828	3011829	2829	3013830	2830	3016831	3831	3020832	3832	3022833	3833	3026834	3834	3029835	3835	3034836	3836	3036837	3837	3039838	3838	3043839	3839	3048840	3840	3051841	3841	3054842	3842	3057843	3843	3060844	3844	3063845	3845	3067	558
846	3072847	3847	3076848	3848	3079849	3849	3082850	3850	3088	540
851	3091	537
852	3094	533
853	3098	529
854	3101855	3855	3104856	3856	3107857	3857	3109858	3858	3114859	3859	3118860	3860	3121861	3861	3124862	3112	494
863	3115	490
864	3118	486
865	3121	483
866	3124	479
867	3127	475
868	3131	472
869	3133	468
870	3137	464
871	3140	461
872	3143	457
873	3147	453
874	3150	450
875	3155	446
876	3157	442
877	3161	439
878	3163	435
879	3169	432
880	3172	428
881	3175	424
882	3178	421
883	3183	417
884	3186	414
885	3189	410
886	3192	406
887	3197	403
888	3200	399
889	3204	396
890	3207	392
891	3210	388
892	3214	385
893	3216	381
894	3220	377
895	3223	374
896	3228	370
897	3232	367
898	3235	363
899	3238	359
900	3243	356
901	3246	352
902	3249	349
903	3252	345
904	3257	341
905	3260	338
906	3263	334
907	3265	330
908	3270	327
909	3274	323
910	3277	320
911	3280	316
912	3283	312
913	3286	309
914	3289	305
915	3292	301
916	3295	298
917	3299	294
918	3302	291
919	3305	287
920	3308	283
921	3313	280
922	3316	276
923	3319	273
924	3322	269
925	3327	265
926	3331	262
927	3335	258
928	3337	255
929	3342	251
930	3344	247
931	3348	244
932	3351	240
933	3354	237
934	3357	233
935	3360	229
936	3362	226
937	3365	222
938	3370	218
939	3373	215
940	3377	211
941	3380	208
942	3942	3395943	3943	3398944	3944	3400945	3945	3403946	3946	3405947	3947	3408948	3400	182
949	3403	179
950	3405	175
951	3951	3421952	3952	3426953	3953	3431954	3954	3435955	3955	3440956	3956	3444	154
957	3447	151
958	3450	147
959	3454	143
960	3458	140
961	3460	136
962	3463	133
963	3468	129
964	3471	125
965	3474	122
966	3478	118
967	3483	115
968	3486	111
969	3489	107
970	3492	104
971	3497	100
972	3500	97
973	3504	93
974	3507	89
975	3510	86
976	3513	82
977	3516	79
978	3519	75
979	3522	71
980	3525	68
981	3528	64
982	3531	61
983	3534	57
984	3538	53
985	3541	50
986	3544	46
987	3548	43
988	3553	39
989	3556	35
990	3559	32
991	3562	28
992	3565	25
993	3569	21
994	3572	17
995	3577	14
996	3579	10
997	3583	7
998	3589	3
999	3592	0
